BDP-MLINFRA-GPUCL001|172.27.107.101|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL002|172.27.107.102|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL003|172.27.107.103|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL004|172.27.107.104|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL005|172.27.107.105|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL006|172.27.107.106|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL007|172.27.107.107|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL008|172.27.107.108|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL009|172.27.107.109|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL010|172.27.107.110|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUNN001|172.27.107.95|{"gpus":{"K80":"0"}}
BDP-MLINFRA-GPUCL011|172.27.107.111|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL012|172.27.107.112|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL013|172.27.107.113|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL014|172.27.107.114|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL015|172.27.107.115|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL016|172.27.107.116|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL017|172.27.107.117|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL018|172.27.107.118|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL019|172.27.107.119|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL020|172.27.107.120|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUNN002|172.27.107.96|{"gpus":{"K80":"0"}}
BDP-MLINFRA-GPUCL021|172.27.107.121|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL022|172.27.107.122|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL023|172.27.107.123|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL024|172.27.107.124|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL025|172.27.107.125|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL026|172.27.107.126|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL027|172.27.107.127|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL028|172.27.107.128|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL029|172.27.107.129|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL030|172.27.107.130|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUNN003|172.27.107.97|{"gpus":{"K80":"0"}}
BDP-MLINFRA-GPUCL031|172.27.107.131|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL032|172.27.107.132|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL033|172.27.107.133|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL034|172.27.107.134|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL035|172.27.107.135|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL036|172.27.107.136|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL037|172.27.107.137|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL038|172.27.107.138|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL039|172.27.107.139|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL040|172.27.107.140|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUNN004|172.27.107.98|{"gpus":{"K80":"0"}}
BDP-MLINFRA-GPUCL041|172.27.107.141|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL042|172.27.107.142|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL043|172.27.107.143|{"gpus":{"K80":"1"}}
BDP-MLINFRA-GPUCL044|172.27.107.144|{"gpus":{"K80":"1"}}
